accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2016-03-15,07:23:23,ศรีรัช,ปกติ,0,0,0,0,โรคประจำตัว
2016-07-27,12:22:22,ศรีรัช,ปกติ,0,0,0,0,-
2015-12-09,14:40:40,ศรีรัช,ปกติ,0,0,0,0,ทำโทรศัพย์หล่นแล้วก้มหยิบ
2016-08-20,17:01:01,ศรีรัช,ปกติ,0,0,0,0,ก้มหยิบเงิน
2016-04-23,09:18:18,ศรีรัช,ปกติ,0,0,0,0,บรรทุกหนัก
2016-09-17,07:55:55,ศรีรัช,ปกติ,1,1,0,0,เบรคกระทันหัน
2016-07-09,05:17:17,ฉลองรัช,ปกติ,0,0,0,0,หลบมีรถย้อนทาง
2016-07-30,04:20:20,ฉลองรัช,ปกติ,0,0,1,0,ขับสวนเลน
2016-08-04,12:50:50,ฉลองรัช,ปกติ,0,0,0,0,ถอยหลังชน
2016-06-20,03:45:45,ฉลองรัช,ปกติ,0,0,0,0,โรคประจำตัว
2016-06-22,22:59:59,ฉลองรัช,ปกติ,0,0,1,0,ขับย้อนทิศทางเดินรถ
2016-01-06,16:36:36,ฉลองรัช,ปกติ,0,0,0,0,ปกติ
2016-01-30,22:43:43,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถประมาท
2016-02-25,23:50:50,บูรพาวิถี,ปกติ,1,0,0,0,ป่วย
2016-02-12,14:44:44,อุดรรัถยา,ปกติ,0,0,0,0,ก้มหาเงินค่าผ่านทาง
2016-09-02,13:30:30,อุดรรัถยา,ปกติ,0,0,0,0,ขับรถไม่ชำนาญ
2016-04-07,05:16:16,อุดรรัถยา,ปกติ,0,0,0,0,ก้มเก็บของ
2016-04-28,22:36:36,อุดรรัถยา,ปกติ,1,0,0,0,ก้มหยิบของ
2016-01-20,02:00:00,อุดรรัถยา,ปกติ,0,0,0,0,ขับรถเร็ว
2016-09-04,17:59:59,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถออกมองไม่เห็น
2016-08-20,04:20:20,เฉลิมมหานคร,ปกติ,1,1,0,0,ขับย้อนศรแล้วชน
2016-01-31,09:37:37,เฉลิมมหานคร,ปกติ,0,0,0,0,โดนตัดหน้า
2016-02-11,15:16:16,เฉลิมมหานคร,ปกติ,1,0,0,0,โรคประจำตัว
2015-11-10,14:13:13,เฉลิมมหานคร,ปกติ,0,0,0,0,บรรทุกมาสูง
2016-02-04,11:30:30,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,ขับย้อนเส้นทาง
2016-06-22,09:49:49,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ฝาท้ายตู้เปิด
